Unnamed: 0_level_0,HC (n = 35),HC (n = 35),AD (n = 31),AD (n = 31),VaD (n = 27),VaD (n = 27),p-value
Unnamed: 0_level_1,Mean,(SD),Mean,(SD),Mean,(SD),Unnamed: 7_level_1
"Age, years",69.43,(9.65),72.52,(7.43),76.67,(7.77)??????,0.002
"Gender, % male",51.4,,58.1,,22.2,??????,0.015
"Education, years",9.7,(3.99),6.63,(3.30)???,5.52,(2.14)???,<0.001
MMSE,28.47,(1.51),15.83,(6.37)???,17.9,(4.15)???,<0.001
Memory,2.99,(0.69),0.88,(0.74)???,0.91,(0.53)???,<0.001
Attention,3.19,(0.80),1.3,(0.85)???,0.88,(0.64)???,<0.001
Language,3.46,(0.82),1.52,(1.30)???,1.28,(1.04)???,<0.001
Executive function,2.88,(0.81),0.83,(1.01)???,0.53,(0.81)???,<0.001
Visuo-spatial skills,3.43,(1.17),0.78,(1.48)???,0.62,(1.28)???,<0.001
Hachinski score,0.0,(0.00),3.0,(0.86)???,8.27,(1.59)??????,<0.001
Fazekas score,0.0,(0.00),2.48,(1.33)???,4.63,(1.52)??????,<0.001
AWMRC score,0.0,(0.00),0.6,(0.71)???,1.27,(0.84)??????,<0.001
