Variable,B,Std. error,beta,p,VIF,R2 change,R2
age,−0.034,0.004,−0.51,<0.001,1.533,0.017,0.421
hypertension,−0.052,0.09,−0.034,0.565,1.142,,
diabetes,−0.19,0.133,−0.081,0.154,1.051,,
hypercholesterolemia,−0.161,0.097,−0.093,0.098,1.044,,
sex,−0.204,0.083,−0.137,0.015,1.032,,
BMI,−0.01,0.01,−0.058,0.326,1.137,,
current smoker,−0.132,0.13,−0.059,0.31,1.127,,
fornix,−0.567,0.237,−0.154,0.018,1.371,,
age,−0.035,0.004,−0.529,<0.001,1.471,0.015,0.416
hypertension,−0.023,0.089,−0.015,0.794,1.149,,
diabetes,−0.236,0.132,−0.1,0.075,1.044,,
hypercholesterolemia,−0.133,0.097,−0.077,0.168,1.046,,
sex,−0.169,0.083,−0.114,0.043,1.05,,
BMI,−0.006,0.01,−0.037,0.526,1.137,,
current smoker,−0.145,0.126,−0.067,0.25,1.135,,
corpus callosum body prefrontal,−2.973,1.329,−0.141,0.026,1.327,,
age,−0.035,0.004,−0.538,<0.001,1.374,0.016,0.418
hypertension,−0.012,0.089,−0.008,0.89,1.158,,
diabetes,−0.25,0.132,−0.106,0.06,1.049,,
hypercholesterolemia,−0.152,0.096,−0.088,0.115,1.042,,
sex,−0.161,0.083,−0.109,0.054,1.06,,
BMI,−0.006,0.01,−0.038,0.515,1.137,,
current smoker,−0.157,0.125,−0.073,0.21,1.125,,
corpus callosum body premotor,−3.27,1.402,−0.142,0.021,1.252,,
age,−0.035,0.004,−0.528,<0.001,1.449,0.016,0.418
hypertension,−0.025,0.089,−0.016,0.778,1.148,,
diabetes,−0.231,0.132,−0.098,0.081,1.043,,
hypercholesterolemia,−0.125,0.097,−0.072,0.198,1.053,,
sex,−0.17,0.083,−0.114,0.042,1.048,,
BMI,−0.005,0.01,−0.03,0.612,1.138,,
current smoker,−0.145,0.126,−0.067,0.251,1.134,,
corpus callosum genu,−2.996,1.286,−0.146,0.021,1.321,,
