Unnamed: 0_level_0,Overall,Overall,Cognitively normal,Cognitively normal,Early MCI,Early MCI,Late MCI,Late MCI,Dementia,Dementia
Unnamed: 0_level_1,F,p,Beta,p,Beta,p,Beta,p,Beta,p
Time (years),3.059,0.017,0.077,0.031,− 0.064,0.013,− 0.081,0.272,− 0.036,0.806
Average MD,0.344,0.848,0.000,0.996,− 0.038,0.646,− 0.089,0.591,− 0.080,0.352
Average MD*time,0.134,0.97,0.020,0.628,0.011,0.61,0.004,0.961,0.013,0.847
Hippocampal volume,2.025,0.094,− 0.081,0.446,0.158,0.015,0.130,0.289,− 0.065,0.574
Hippocampal volume*time,2.988,0.019,0.044,0.272,0.056,0.018,0.087,0.106,0.120,0.114
Age,4.435,0.002,− 0.408,0.001,− 0.052,0.554,0.376,0.037,0.107,0.185
Years of education,1.516,0.202,− 0.075,0.333,0.142,0.032,0.028,0.709,− 0.033,0.616
Male,3.213,0.015,− 0.316,0.081,− 0.471,0.028,− 0.649,0.01,− 1.544,0.0
APOE ɛ3/4 or 4/4,3.1,0.018,− 0.454,0.016,− 0.223,0.1,0.473,0.087,0.133,0.401
Intracranial vault,2.071,0.088,0.164,0.096,0.017,0.831,− 0.105,0.508,0.271,0.027
