Unnamed: 0,preHD,Controls
MEP Latency,22.76 (1.67),22.84 (1.47)
MEP Area at 110% RMT,2.63 (1.65),2.51 (2.91)
MEP Area at 130% RMT,7.66 (6.61),5.00 (4.51)
MEP Area at 150% RMT,13.08 (11.50),8.68 (6.40)
MEP Area at 125% AMT,10.28 (4.14),11.41 (6.27)
MEP Area at 150% AMT,18.74 (8.69),20.29 (10.59)
MEP Area at 175% AMT,25.14 (10.02),25.96 (13.83)
CSP at 125 AMT,94.92 (33.11),93.46 (34.03)
Ratio MEP/CSP at 125% AMT,0.12 (0.05),0.14 (0.10)
CSP at 150% AMT,141.17 (39.90),162.15 (49.65)
Ratio MEP/CSP at 150% AMT,0.14 (0.06),0.14 (0.10)
CSP at 175% AMT,178.67 (37.75),162.15 (49.64)
Ratio MEP/CSP at 175% AMT,0.14 (0.05),0.17 (0.08)
N20 Amplitude,3.23 (1.72),4.22 (1.61)
N20 Latency,19.20 (2.06),19.92 (1.76)
LLR-I Latency,41.68 (5.14),42.19 (3.70)
LLR-I Amplitude,0.10 (0.09),0.09 (0.06)
LLR-II Latency,49.95 (1.69),50.53 (4.31)
LLR-II Amplitude,0.07 (0.04),0.08 (0.06)
Cortical Relay Time,8.08 (2.37),8.23 (4.90)
