Parameter,HC,bv FTD,effect size,p-value,AUC
ACC thickness lh,2.76 (SD 0.21),2.6 (SD 0.26),0.57,0.085 NS,0.66 NS
ACC thickness rh,2.72 (SD 0.21),2.66 (SD 0.31),0.54,0.49 NS,0.59 NS
ACC VBM lh,0.54 (SD 0.041),0.44 (SD 0.091),1.67,<0.001*,0.78#
ACC VBM rh,0.55 (SD 0.042),0.47 (SD 0.070),1.42,0.001*,0.82#
FA LM12 lh,0.47 (SD 0.034),0.39 (SD 0.053),1.84,<0.001*,0.92#
FA LM12 rh,0.39 (SD 0.038),0.33 (SD 0.047),1.41,0.001*,0.81#
MD LM12 lh,0.81 (SD 0.036),0.92 (SD 0.070),2.1,<0.001*,0.94#
MD LM 12 rh,0.85 (SD 0.036),0.96 (SD 0.12),1.41,0.003*,0.87#
aD LM12 lh,1.24 (SD 0.055),1.32 (SD 0.062),1.37,0.002*,0.82#
aD LM12 rh,1.21 (SD 0.049),1.32 (SD 0.11),1.34,0.012 NS,0.86#
rD LM12 lh,0.59 (SD 0.041),0.73 (SD 0.071),2.45,<0.001*,0.97#
rD LM12 rh,0.67 (SD 0.047),0.82 (SD 0.12),1.78,0.002*,0.96#
