Characteristic,N,Intervention,Control,p
Unnamed: 0_level_1,Unnamed: 1_level_1,(n = 34),(n = 26),Unnamed: 4_level_1
"Baseline age, y",60.0,70.02 (4.2),69.55 (3.9),0.66
"Number of Men, (n%)",60.0,20/34 (59),13/26 (50),0.6
"Education, y",60.0,9.26 (2.4),8.61 (3.0),0.36
"APOEɛ4 carriers, n (%)",53.0,7/31 (23),9/22 (41),0.15
Baseline vascular &lifestyle factors,,,,
"Systolic blood pressure, mmHg",57.0,140.8 (16.6),141.2 (15.2),0.94
"Diastolic blood pressure, mmHg",57.0,80.1 (9.04),79.2 (9.3),0.71
"BMI, kg/m2",57.0,27.6 (3.98),27.1 (3.08),0.66
"Total cholesterol, mmol/l",60.0,4.94 (1.03),4.94 (0.99),0.99
"Fasting plasma glucose, mmol/l",60.0,6.21 (0.74),6.20 (1.01),0.96
Physically inactive n (%),60.0,27/34 (79),24/26 (92),0.16
"Current smokers, n (%)",60.0,34/34 (100),24/26 (92),0.18
"Alcohol drinking at least once per week, n (%)",60.0,17/34 (50),12/26 (46),0.09
"Fish intake at least twice per week, n (%)",60.0,11/34 (32),12/26 (46),0.29
"Daily intake of vegetables, n (%)",60.0,11/34 (32),10/26 (38),0.78
Self-reported baseline medical history,,,,
"Hypertension, n (%)",60.0,25/34 (73),16/25 (64),0.56
"Hypercholesterolemia, n (%)",59.0,26/34 (76),20/25 (80),1.0
"Diabetes, n (%)",59.0,32/34 (94),23/25 (92),1.0
"History of myocardial infarction, n (%)",59.0,0,0,
"History of stroke, n (%)",58.0,0,0,
Baseline cognition,,,,
NTB Total score,60.0,–0.080 (0.43),–0.085 (0.55),0.97
NTB Executive functioning,60.0,–0.06 (0.52),–0.090 (0.64),0.84
NTB Processing speed,60.0,–0.099 (0.67),0.001 (0.87),0.61
NTB Memory,60.0,–0.0892 (0.55),–0.12 (0.56),0.8
Baseline MRI,,,,
Visually rated white matter hyperintensities,60.0,1.00 (0–3),1.00 (0–3),0.3
